,time,distance
0,0.1,840000.0
1,0.2,840000.0
2,0.30000000000000004,840000.0
3,0.4,840000.0
4,0.5,840000.0
5,0.6,420000.0
6,0.7,420000.0
7,0.7999999999999999,840000.0
8,0.8999999999999999,840000.0
9,0.9999999999999999,840000.0
10,1.0999999999999999,840000.0
11,1.2,840000.0
12,1.3,420000.0
13,1.4000000000000001,210000.0
14,1.5000000000000002,840000.0
15,1.6000000000000003,168000.0
16,1.7000000000000004,420000.0
17,1.8000000000000005,840000.0
18,1.9000000000000006,840000.0
19,2.0000000000000004,840000.0
20,2.1000000000000005,210000.0
21,2.2000000000000006,840000.0
22,2.3000000000000007,280000.0
23,2.400000000000001,840000.0
24,2.500000000000001,168000.0
25,2.600000000000001,560000.0
26,2.700000000000001,840000.0
27,2.800000000000001,105000.0
28,2.9000000000000012,280000.0
29,3.0000000000000013,105000.0
30,3.1000000000000014,93333.33333333334
31,3.2000000000000015,93333.33333333334
32,3.3000000000000016,84000.0
33,3.4000000000000017,84000.0
34,3.5000000000000018,76363.63636363637
35,3.600000000000002,84000.0
36,3.700000000000002,76363.63636363637
37,3.800000000000002,76363.63636363637
38,3.900000000000002,70000.0
39,4.000000000000002,70000.0
40,4.100000000000001,64615.38461538462
41,4.200000000000001,62222.22222222222
42,4.300000000000001,60000.0
43,4.4,56000.0
44,4.5,54193.548387096766
45,4.6,56000.0
46,4.699999999999999,60000.0
47,4.799999999999999,60000.0
48,4.899999999999999,57931.034482758616
49,4.999999999999998,56000.0
50,5.099999999999998,52500.0
